Name,Kind,ErrorLike,TargetDomain,Status,SourceReference
"ERROR_001-SUMA-STAVKE-IZVODA-NIJE-SUMA-GK","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L441"
"ERROR_002-STAVKE U GK SA POGRESNIM SKUPSTINAMA KUPCA","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L451"
"ERROR_003-STAVKE IZVODA NA CEKANJU","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L459"
"ERROR_004-NEPOSTOJI-KUPAC-PREMA-GK","SELECT","true","banking","needs-port","docs/queries-sql.md:L468"
"ERROR_005-KUPAC-BEZ-NEKRETNINE","SELECT","true","master-data","blocked-by-missing-source","docs/queries-sql.md:L476"
"ERROR_006-IZVODISTAVKE-BEZ-IZVODA","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L484"
"ERROR_007-IZVODI-KOJI-IMAJU-R-A-NISU-R","SELECT","true","banking","needs-port","docs/queries-sql.md:L492"
"ERROR_008-IZVODI-SUMASTAVKI-KONTROLA","SELECT","true","banking","needs-port","docs/queries-sql.md:L501"
"ERROR_009_IZVOD-NEPOSTOJECA-SZ","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L510"
"ERROR_009-IZVOD-STAVKE-U-GK-POGRESNA-SZ-KORISNIKA","SELECT","true","banking","needs-port","docs/queries-sql.md:L518"
"ERROR_010-STAVKE-GK-KORISNIKA-BEZ-SK","SELECT","true","ledger","blocked-by-missing-source","docs/queries-sql.md:L526"
"ERROR_011-IZVOD-STAVKE-POGRESNA-SZ-U-GK","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L534"
"ERROR_012-IZVOD-IZVODSTAVKE-POGRESNA-SZ","SELECT","true","banking","needs-port","docs/queries-sql.md:L542"
"ERROR_013-IZVODSTAVKE-GK-RAZLICIT-ID-K","SELECT","true","banking","needs-port","docs/queries-sql.md:L550"
"ERROR_014-IZVOD-NALOG-SUMA-NIJE-NULA","SELECT","true","banking","blocked-by-missing-source","docs/queries-sql.md:L558"
"ERROR_014-IZVOD-UPOREDO_2410","SELECT","true","banking","needs-port","docs/queries-sql.md:L568"
"ERROR_015_GK_POVEZIVANJE_SUBKONTO_RAZLIKA","SELECT","true","ledger","needs-port","docs/queries-sql.md:L578"
"ERROR_016_GK_204X_DPO_DATUM_NEMA","SELECT","true","ledger","needs-port","docs/queries-sql.md:L589"
"ERROR_016_GK_204X_DPO_DATUM_NEMA_GROUP","SELECT","true","master-data","needs-port","docs/queries-sql.md:L597"
"ERROR_017_GK_204X_POVEZIVANJE_SUBKONTA","SELECT","true","ledger","blocked-by-missing-source","docs/queries-sql.md:L606"
"ERROR_018_GK_PretplateIzvodi","SELECT","true","banking","needs-port","docs/queries-sql.md:L620"
"ERROR_019-IZVOD-2410-ODOBRENJE-ZADUZENJE","SELECT","true","banking","needs-port","docs/queries-sql.md:L629"
"ERROR_020_OBJEKAT-SZ-KORISNIK-SZ","SELECT","true","master-data","blocked-by-missing-source","docs/queries-sql.md:L637"
"ERROR_021_RACUNI-DATUMPROMETA-DATUMVALUTE-RACUNA","SELECT","true","ledger","needs-port","docs/queries-sql.md:L645"
"ERROR_021_RACUNI-DATUMPROMETA-DATUMVALUTE-RACUNA-FIX","UPDATE","true","billing","needs-port","docs/queries-sql.md:L653"
