Name,Kind,ErrorLike,TargetDomain,Status,SourceReference
"_DUPLIRAJPODATKE","INSERT","false","suppliers","blocked-by-missing-source","docs/queries-sql.md:L9"
"AAAAA","INSERT","false","suppliers","needs-port","docs/queries-sql.md:L17"
"AAAAAB","INSERT","false","billing","needs-port","docs/queries-sql.md:L26"
"AdresaDostave","SELECT","false","master-data","needs-port","docs/queries-sql.md:L35"
"Analiza_ClearData","UPDATE","false","reports-analysis","needs-port","docs/queries-sql.md:L43"
"ArchiveMails","UPDATE","false","documents-email","needs-port","docs/queries-sql.md:L49"
"aZURIRANJEpARAMETARUgK","SELECT","false","ledger","needs-port","docs/queries-sql.md:L55"
"AzuriranjeSkupstineUGK","UPDATE","false","ledger","needs-port","docs/queries-sql.md:L63"
"AzuriranjeSkupstineUGK?67","UPDATE","false","ledger","needs-port","docs/queries-sql.md:L69"
"BenefitCount","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L75"
"BENEFIT-GRP","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L83"
"BENEFIT-GRP_Crosstab","TRANSFORM","false","benefits-interest","needs-port","docs/queries-sql.md:L91"
"BenefitHave","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L101"
"BenefitiExport","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L110"
"BenefitiExport_All","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L119"
"BenefitiExport_GPMima","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L127"
"BENEFITI-LISTING-2304","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L135"
"BENEFITI-LISTING-2305","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L143"
"BENEFITI-LISTING-2306","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L151"
"BENEFITI-LISTING-2307","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L159"
"BENEFITI-LISTING-2308","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L167"
"BenefitKupacYYMM","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L175"
"BENEFIT-LISTING","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L184"
"BenefitRacun_2402","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L192"
"BenefitRacun_2403","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L200"
"BenefitRacun_2404","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L208"
"BenefitRacun_2405","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L216"
"BenefitRacun_2406","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L224"
"BenefitRacun_2407","SELECT","false","benefits-interest","needs-port","docs/queries-sql.md:L232"
